Company,Ticker,Patent Number,Date,Title
CSL LIMITED,CSL,20200038481,20200206,RECONSTITUTED HIGH DENSITY LIPOPROTEIN TREATMENT OF MYOCARDIAL INFARCTION
CSL LIMITED,CSL,20210147509,20210520,CONTAMINANT REMOVAL METHOD
CSL LIMITED,CSL,20230142696,20230511,Reconstituted HDL Formulation
CSL LIMITED,CSL,20220133852,20220505,RECONSTITUTED HIGH DENSITY LIPOPROTEIN FORMULATION AND PRODUCTION METHOD THEREOF
PFIZER,PFE,20230250173,20230810,BIOMARKERS FOR PD-1 AXIS BINDING ANTAGONIST THERAPY
BAYER,BAYRY,20240300412,20240912,Driver Assistance System and Method for Outputting Expanded Warning Information in the Vehicle
GILEAD SCIENCES,GILD,20230183262,20230615,SUBSTITUTED ENEOXINDOLES AND USES THEREOF
DENALI THERAPEUTICS,DNLI,20240025915,20240125,"SOLID FORMS OF 4-(3,3-DIFLUORO-2,2-DIMETHYL-PROPANOYL)-3,5-DIHYDRO-2H-PYRIDO[3,4-F][1,4]OXAZEPINE-9-CARBONITRILE"
NOVARTIS,NVS,20240309084,20240919,DEGRADATION OF EXTRACELLULAR TARGETS
SANOFI,SNY,20230356878,20231109,"Internal cardboard support for receiving pharmaceutical products, packaging and method for packaging"
GILEAD SCIENCES,GILD,20240025932,20240125,PHOSPHOLIPID COMPOUNDS AND USES THEREOF
GILEAD SCIENCES,GILD,20240024341,20240125,INHALATION FORMULATIONS OF 1`-CYANO SUBSTITUTED CARBA-NUCLEOSIDE ANALOGS
REGENERON,REGN,20240327539,20241003,METHODS OF EFFECTING A HEMODYNAMIC CHANGE BY ADMINISTERING AN ANTI-NPR1 ANTIBODY
GILEAD SCIENCES,GILD,20230322727,20231012,SOLID FORMS OF A COT INHIBITOR COMPOUND
BAYER,BAYRY,20240075788,20240307,Temperature-Control System and Method for the Temperature Control of an Electrified Motor Vehicle
SUMITOMO PHARMA,DNPUF,20240091226,20240321,Forms and Formulations Of A Tyrosine Kinase Non-Receptor 1 (TNK1) Inhibitor
SANOFI,SNY,20230364346,20231116,CONSERVING POWER IN AN INJECTION DEVICE
TAKEDA PHARMACEUTICAL,TAK,20220315668,20221006,PLASMA KALLIKREIN INHIBITORS AND USES THEREOF FOR TREATING HEREDITARY ANGIOEDEMA ATTACK
